303@1@(<at1099:t99:d9><at054;at554;at954:t54:d4><at779:t79:d9><at027;at727;at327:t27:d7><at758;at958;at658;at358:t58:d8>#<at027;at727;at327:t27:d7,at694:t94:d4,gte-641>)&(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)
314@4@(<at351;at251:t51:d1><at465:t65:d5><at963:t63:d3><at227;at627:t27:d7><at3109:t109:d9><at837:t37:d7><at222;at722;at122:t22:d2><at911;at811:t11:d1><at839;at239;at939;at439:t39:d9><at579;at679;at479:t79:d9>#<at222;at722;at122:t22:d2,lt-104>)&(<at814;at014;at614;at314:t14:d4><at1042:t42:d2>#<at814;at014;at614;at314:t14:d4,at679;at979;at779:t79:d9,lt-764>)
323@2@(<at81010:t1010:d10><at1077:t77:d7><at996:t96:d6><at276:t76:d6><at845;at745:t45:d5><at695:t95:d5><at385:t85:d5>#<at276:t76:d6,at439;at739;at239;at839:t39:d9,gte-355>)_(<at814;at014;at614;at314:t14:d4><at1042:t42:d2>#<at814;at014;at614;at314:t14:d4,at679;at979;at779:t79:d9,lt-764>)
323@3@(<at778:t78:d8><at081;at881;at781;at281:t81:d1>#<at778:t78:d8,at455:t55:d5,lte-465>)&(<at1075:t75:d5><at537:t37:d7><at1068:t68:d8><at037;at137:t37:d7><at062;at462:t62:d2>#<at1075:t75:d5,at439;at739;at239;at839:t39:d9,gte-355>)
325@2@(<at778:t78:d8><at081;at881;at781;at281:t81:d1>#<at778:t78:d8,at455:t55:d5,lte-465>)_(<at1099:t99:d9><at054;at554;at954:t54:d4><at779:t79:d9><at027;at727;at327:t27:d7><at758;at958;at658;at358:t58:d8>#<at027;at727;at327:t27:d7,at694:t94:d4,gte-641>)
326@4@(<at1075:t75:d5><at537:t37:d7><at1068:t68:d8><at037;at137:t37:d7><at062;at462:t62:d2>#<at1075:t75:d5,at439;at739;at239;at839:t39:d9,gte-355>)&(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)
328@1@(<at1075:t75:d5><at537:t37:d7><at1068:t68:d8><at037;at137:t37:d7><at062;at462:t62:d2>#<at1075:t75:d5,at439;at739;at239;at839:t39:d9,gte-355>)_(<at458:t58:d8><at655:t55:d5><at339;at939:t39:d9><at593:t93:d3><at357;at157:t57:d7><at652:t52:d2><at689;at589;at089:t89:d9><at692;at992:t92:d2><at899:t99:d9><at183;at983;at383;at083:t83:d3>#<at652:t52:d2,at297:t97:d7,false-37>)
331@2@(<at814;at014;at614;at314:t14:d4><at1042:t42:d2>#<at814;at014;at614;at314:t14:d4,at679;at979;at779:t79:d9,lt-764>)_(<at458:t58:d8><at655:t55:d5><at339;at939:t39:d9><at593:t93:d3><at357;at157:t57:d7><at652:t52:d2><at689;at589;at089:t89:d9><at692;at992:t92:d2><at899:t99:d9><at183;at983;at383;at083:t83:d3>#<at652:t52:d2,at297:t97:d7,false-37>)
339@1@(<at778:t78:d8><at081;at881;at781;at281:t81:d1>#<at778:t78:d8,at455:t55:d5,lte-465>)_(<at814;at014;at614;at314:t14:d4><at1042:t42:d2>#<at814;at014;at614;at314:t14:d4,at679;at979;at779:t79:d9,lt-764>)
341@2@(<at814;at014;at614;at314:t14:d4><at1042:t42:d2>#<at814;at014;at614;at314:t14:d4,at679;at979;at779:t79:d9,lt-764>)&(<at464:t64:d4><at657:t57:d7><at952;at352;at152;at752:t52:d2><at9106:t106:d6><at077;at777;at677:t77:d7><at596;at496;at996:t96:d6><at7410:t410:d10><at994;at094:t94:d4>#<at994;at094:t94:d4,at439;at739;at239;at839:t39:d9,gte-355>)
342@2@(<at351;at251:t51:d1><at465:t65:d5><at963:t63:d3><at227;at627:t27:d7><at3109:t109:d9><at837:t37:d7><at222;at722;at122:t22:d2><at911;at811:t11:d1><at839;at239;at939;at439:t39:d9><at579;at679;at479:t79:d9>#<at222;at722;at122:t22:d2,lt-104>)_(<at1099:t99:d9><at054;at554;at954:t54:d4><at779:t79:d9><at027;at727;at327:t27:d7><at758;at958;at658;at358:t58:d8>#<at027;at727;at327:t27:d7,at694:t94:d4,gte-641>)
342@4@(<at464:t64:d4><at657:t57:d7><at952;at352;at152;at752:t52:d2><at9106:t106:d6><at077;at777;at677:t77:d7><at596;at496;at996:t96:d6><at7410:t410:d10><at994;at094:t94:d4>#<at994;at094:t94:d4,at439;at739;at239;at839:t39:d9,gte-355>)_(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)
